DATE,Currency in Circulation / Total Assets,Effective Federal Funds Rate (%),Loss Function
2002-12-31,93.20357315818879,1.238387096774194,-2.3033600950196753
2003-01-31,93.74833038598163,1.2351612903225804,-1.7383734175482135
2003-02-28,94.24757321932107,1.2621428571428575,-2.034399903938489
2003-03-31,94.439552201423,1.2529032258064512,-2.013570559703001
2003-04-30,93.23256705147217,1.258,-2.4117423858447253
2003-05-31,93.52119838885744,1.2590322580645164,-2.6962749240249138
2003-06-30,93.6702983267831,1.2226666666666663,-3.46314001257255
2003-07-31,93.60900643721445,1.011290322580645,-3.0708323964043296
2003-08-31,93.85044780817505,1.0290322580645161,-2.8208007422300327
2003-09-30,93.87683844367668,1.01,-2.8457574628668767
2003-10-31,93.79411577306709,1.01,-2.438891925462071
2003-11-30,94.45093198226134,0.9960000000000004,-1.8456459999970944
2003-12-31,94.25929864534484,0.9841935483870968,-1.5707196418206542
2004-01-31,93.92236803450807,0.9970967741935485,-1.4694193997463918
2004-02-29,94.640110370377,1.0072413793103445,-1.2315399188144354
2004-03-31,94.49203084424607,1.0016129032258063,-1.7093411261277422
2004-04-30,94.04292544300445,1.0039999999999998,-1.2098417035642446
2004-05-31,94.3329766962517,1.004516129032258,-1.20997540570856
2004-06-30,94.27026044978523,1.0256666666666667,-1.1981509871740283
2004-07-31,94.68270465687341,1.263548387096774,-1.0005531901342029
2004-08-31,95.2696520729274,1.4293548387096775,-0.819965929475226
2004-09-30,93.87730808196555,1.6049999999999995,-0.812703355258954
2004-10-31,93.96603827432575,1.7609677419354837,-1.0002848546351184
2004-11-30,93.46662405937145,1.9320000000000002,-0.8061139324671892
2004-12-31,93.12990328720652,2.156129032258064,-0.8056961590139607
2005-01-31,92.95030106440416,2.279354838709677,-0.6107249867099077
2005-02-28,93.73348610201586,2.501785714285714,-0.7795249580008617
2005-03-31,93.7208743586689,2.6290322580645156,-0.42458162042247183
2005-04-30,93.7789302885812,2.7849999999999997,-0.4782284920191407
2005-05-31,93.61494940567809,3.0025806451612915,-0.3285342963991878
2005-06-30,93.52146181743723,3.035666666666666,-0.24258639693498144
2005-07-31,93.68105890577284,3.2625806451612904,-0.23682333042302628
2005-08-31,93.64596441993282,3.4996774193548394,-0.13472303258747365
2005-09-30,93.57174254680551,3.6230000000000007,-0.21231778672766208
2005-10-31,93.84847363106222,3.779354838709678,-0.18027467571906367
2005-11-30,93.75668117805628,3.999,-0.15622985788509322
2005-12-31,93.24832295057135,4.157096774193548,-0.08140155822409145
2006-01-31,94.05691187141305,4.28516129032258,-0.019486895631065867
2006-02-28,94.19216026788068,4.491428571428572,-0.07080558178400136
2006-03-31,94.06907913093289,4.589354838709676,-0.011988744703218555
2006-04-30,94.32638055110183,4.790333333333334,0.09050032196070637
2006-05-31,94.28508143854502,4.940322580645163,0.15691032589522327
